industry_name,employees_at_location_range,product_type,product,year,currency,spend
Transportation and Public Utilities,50-99 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,4647.464062
Transportation and Public Utilities,100-249 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,8917.116246
Transportation and Public Utilities,250-499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,20645.72181
Transportation and Public Utilities,500-999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,60880.23646
Transportation and Public Utilities,1000-2499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,343529.2438
Transportation and Public Utilities,2500-4999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,343529.2438
Transportation and Public Utilities,5000-9999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,3845950.517
Transportation and Public Utilities,10000+ Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,3845950.517
"Finance, Insurance, and Real Estate",1-4 Emp,Wireline Voice,International Long Distance Services,2010,USD,18.19577509
"Finance, Insurance, and Real Estate",5-9 Emp,Wireline Voice,International Long Distance Services,2010,USD,65.72020054
"Finance, Insurance, and Real Estate",10-24 Emp,Wireline Voice,International Long Distance Services,2010,USD,314.474083
"Finance, Insurance, and Real Estate",25-49 Emp,Wireline Voice,International Long Distance Services,2010,USD,314.474083
"Finance, Insurance, and Real Estate",50-99 Emp,Wireline Voice,International Long Distance Services,2010,USD,1448.8
"Finance, Insurance, and Real Estate",100-249 Emp,Wireline Voice,International Long Distance Services,2010,USD,4942.271645
"Finance, Insurance, and Real Estate",250-499 Emp,Wireline Voice,International Long Distance Services,2010,USD,11963.5394
"Finance, Insurance, and Real Estate",500-999 Emp,Wireline Voice,International Long Distance Services,2010,USD,27986.61801
"Finance, Insurance, and Real Estate",1000-2499 Emp,Wireline Voice,International Long Distance Services,2010,USD,134646.5201
"Finance, Insurance, and Real Estate",2500-4999 Emp,Wireline Voice,International Long Distance Services,2010,USD,134646.5201
"Finance, Insurance, and Real Estate",5000-9999 Emp,Wireline Voice,International Long Distance Services,2010,USD,1012730.942
"Finance, Insurance, and Real Estate",10000+ Emp,Wireline Voice,International Long Distance Services,2010,USD,1012730.942
Public Administration,1-4 Emp,Wireline Voice,International Long Distance Services,2010,USD,5.383634838
Public Administration,5-9 Emp,Wireline Voice,International Long Distance Services,2010,USD,27.87769218
Public Administration,10-24 Emp,Wireline Voice,International Long Distance Services,2010,USD,142.955663
Public Administration,25-49 Emp,Wireline Voice,International Long Distance Services,2010,USD,142.955663
Public Administration,50-99 Emp,Wireline Voice,International Long Distance Services,2010,USD,934.4301773
Public Administration,100-249 Emp,Wireline Voice,International Long Distance Services,2010,USD,5457.112856
Public Administration,250-499 Emp,Wireline Voice,International Long Distance Services,2010,USD,12999.02375
Public Administration,500-999 Emp,Wireline Voice,International Long Distance Services,2010,USD,51320.09529
Public Administration,1000-2499 Emp,Wireline Voice,International Long Distance Services,2010,USD,266795.9359
Public Administration,2500-4999 Emp,Wireline Voice,International Long Distance Services,2010,USD,266795.9359
Public Administration,5000-9999 Emp,Wireline Voice,International Long Distance Services,2010,USD,1291392.421
Public Administration,10000+ Emp,Wireline Voice,International Long Distance Services,2010,USD,1291392.421
Services,1-4 Emp,Wireline Voice,International Long Distance Services,2010,USD,13.79381343
Services,5-9 Emp,Wireline Voice,International Long Distance Services,2010,USD,73.77722509
Services,10-24 Emp,Wireline Voice,International Long Distance Services,2010,USD,284.4910288
Services,25-49 Emp,Wireline Voice,International Long Distance Services,2010,USD,284.4910288
Services,50-99 Emp,Wireline Voice,International Long Distance Services,2010,USD,899.7752644
Services,100-249 Emp,Wireline Voice,International Long Distance Services,2010,USD,2554.009683
Services,250-499 Emp,Wireline Voice,International Long Distance Services,2010,USD,6905.399919
Services,500-999 Emp,Wireline Voice,International Long Distance Services,2010,USD,20501.16157
Services,1000-2499 Emp,Wireline Voice,International Long Distance Services,2010,USD,81509.01674
Services,2500-4999 Emp,Wireline Voice,International Long Distance Services,2010,USD,81509.01674
Services,5000-9999 Emp,Wireline Voice,International Long Distance Services,2010,USD,441460.7271
Services,10000+ Emp,Wireline Voice,International Long Distance Services,2010,USD,441460.7271
"Agriculture, Forestry, and Fishing plus Mining",1-4 Emp,Wireline Voice,International Long Distance Services,2010,USD,6.16607839
"Agriculture, Forestry, and Fishing plus Mining",5-9 Emp,Wireline Voice,International Long Distance Services,2010,USD,39.74644873
"Agriculture, Forestry, and Fishing plus Mining",10-24 Emp,Wireline Voice,International Long Distance Services,2010,USD,145.5270441
"Agriculture, Forestry, and Fishing plus Mining",25-49 Emp,Wireline Voice,International Long Distance Services,2010,USD,145.5270441
"Agriculture, Forestry, and Fishing plus Mining",50-99 Emp,Wireline Voice,International Long Distance Services,2010,USD,460.715845
"Agriculture, Forestry, and Fishing plus Mining",100-249 Emp,Wireline Voice,International Long Distance Services,2010,USD,1222.912606
"Agriculture, Forestry, and Fishing plus Mining",250-499 Emp,Wireline Voice,International Long Distance Services,2010,USD,3952.453114
"Agriculture, Forestry, and Fishing plus Mining",500-999 Emp,Wireline Voice,International Long Distance Services,2010,USD,11152.57416
"Agriculture, Forestry, and Fishing plus Mining",1000-2499 Emp,Wireline Voice,International Long Distance Services,2010,USD,57332.10492
"Agriculture, Forestry, and Fishing plus Mining",2500-4999 Emp,Wireline Voice,International Long Distance Services,2010,USD,57332.10492
"Agriculture, Forestry, and Fishing plus Mining",5000-9999 Emp,Wireline Voice,International Long Distance Services,2010,USD,0
"Agriculture, Forestry, and Fishing plus Mining",10000+ Emp,Wireline Voice,International Long Distance Services,2010,USD,0
