location,sub_product,infousa_industry,infousa_size,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Paris, France",Internet Access,"Agriculture, Forestry, and Fishing plus mining",1-9 Emp,171.2026458,167.7646325,162.4823701,165.4147965,167.2093401,168.6794042,169.7309725,170.0709688,170.486945,170.7453027,170.6478821,170.2947377,169.6910186
"Paris, France",Internet Access,Construction,1-9 Emp,183.5427803,180.0104606,174.5516163,177.9556841,180.0980072,181.9110382,183.2785163,183.8723311,184.5582864,185.0772007,185.2133944,185.0741348,184.6639551
"Paris, France",Internet Access,"Finance, Insurance, and Real Estate",1-9 Emp,251.6415607,248.6668449,245.2372261,251.7228623,257.2124166,262.0139658,266.1956346,270.1223202,273.7714935,277.2129343,280.1137069,282.6212498,284.7306691
"Paris, France",Internet Access,Manufacturing,1-9 Emp,244.9194639,238.918397,228.9837429,229.0195157,230.033319,229.8552476,229.0912732,226.6955196,224.6954535,222.4488664,219.7071786,216.6135688,213.1860737
"Paris, France",Internet Access,Nonclassified Establishments,1-9 Emp,185.9395533,182.4690134,177.0711213,180.6701942,182.9529487,184.9024997,186.3901123,187.1476163,187.9743194,188.6328386,188.90287,188.8930976,188.6075734
"Paris, France",Internet Access,Public Administration,1-9 Emp,124.1655881,123.3036104,123.2303518,125.5124779,128.9674474,131.6213151,133.8678674,136.4705435,138.6877097,140.8052519,142.6526903,144.3030788,145.7523111
"Paris, France",Internet Access,Wholesale & retail trade,1-9 Emp,199.2129785,196.1385564,191.4269742,196.1281298,199.4200781,202.3086298,204.6769342,206.5104001,208.3077085,209.932052,211.1349436,212.0329127,212.6265593
"Paris, France",Internet Access,Services,1-9 Emp,279.9029267,277.5375911,275.0120406,284.1942044,291.0750656,297.6288402,303.4918216,309.387149,314.8060277,320.0046481,324.5941322,328.7385904,332.4269971
"Paris, France",Internet Access,Transportation and Public Utilities,1-9 Emp,269.330558,265.5878675,262.2272839,266.345819,271.5886907,275.3888577,278.5088799,281.7474399,284.4406697,286.9013571,288.7890163,290.2617056,291.3191887
"Paris, France",Internet Access,"Agriculture, Forestry, and Fishing plus mining",10-49 Emp,1332.661083,1282.914053,1306.221063,1322.842744,1331.84261,1337.42856,1338.135868,1332.722697,1324.367391,1312.976447,1297.126328,1277.57534,1254.51428
"Paris, France",Internet Access,Construction,10-49 Emp,1431.414905,1379.147199,1405.898019,1426.036227,1437.628332,1445.537409,1448.171994,1444.215962,1437.089571,1426.657839,1411.358271,1391.996856,1368.764592
"Paris, France",Internet Access,"Finance, Insurance, and Real Estate",10-49 Emp,2136.462404,2078.141941,2155.651553,2209.234285,2253.828215,2293.620818,2326.650064,2348.845062,2365.590653,2376.729081,2379.427112,2374.763991,2362.818742
"Paris, France",Internet Access,Manufacturing,10-49 Emp,2300.787687,2198.584499,2205.193636,2188.672702,2184.791662,2169.783838,2148.178794,2103.539988,2061.083677,2014.07502,1960.56877,1902.001044,1838.912228
"Paris, France",Internet Access,Nonclassified Establishments,10-49 Emp,1435.631532,1383.090661,1409.9117,1429.873699,1441.300684,1448.95852,1451.257724,1447.236391,1439.898283,1429.24953,1413.726395,1394.138163,1370.677839
"Paris, France",Internet Access,Public Administration,10-49 Emp,1320.927228,1287.960744,1337.978016,1367.190397,1394.43861,1413.129333,1425.494654,1442.639109,1450.86557,1455.664975,1455.318391,1450.505508,1441.291687
"Paris, France",Internet Access,Wholesale & retail trade,10-49 Emp,1590.503068,1535.098063,1570.213009,1596.678583,1614.095654,1626.539708,1632.898511,1633.302179,1629.438103,1621.801667,1608.582565,1590.658022,1568.209751
"Paris, France",Internet Access,Services,10-49 Emp,2131.785731,2075.17285,2154.983503,2212.884582,2255.487163,2293.118003,2322.76133,2349.251714,2366.371356,2377.879832,2380.939593,2376.627039,2365.018173
"Paris, France",Internet Access,Transportation and Public Utilities,10-49 Emp,2374.927773,2298.422058,2376.019247,2404.129249,2437.076816,2457.418777,2468.810586,2478.463445,2477.287942,2470.349761,2454.853531,2432.092085,2402.302846
"Paris, France",Internet Access,"Agriculture, Forestry, and Fishing plus mining",50-249 Emp,5423.882547,5112.403004,5223.727161,5253.298121,5257.480473,5252.843701,5237.450037,5208.988674,5169.883836,5123.195966,5066.425565,5000.643626,4926.314113
"Paris, France",Internet Access,Construction,50-249 Emp,6005.322769,5672.456361,5809.515966,5862.438615,5882.516819,5893.472338,5891.474221,5876.200482,5848.53208,5812.203887,5764.297021,5705.931942,5637.546295
"Paris, France",Internet Access,"Finance, Insurance, and Real Estate",50-249 Emp,15928.12831,15230.85107,15884.08466,16260.49855,16595.16671,16948.3186,17298.90191,17469.28751,17670.25152,17843.65473,17979.11079,18078.44006,18141.46691
"Paris, France",Internet Access,Manufacturing,50-249 Emp,7386.773864,6879.188939,6895.414551,6796.79687,6722.14827,6627.414911,6522.971207,6353.640821,6197.245465,6032.297787,5856.404878,5671.452842,5478.574353
"Paris, France",Internet Access,Nonclassified Establishments,50-249 Emp,5916.509729,5583.598557,5713.417215,5757.929807,5771.682432,5776.028345,5767.828057,5746.699339,5713.327473,5671.527147,5618.4819,5555.32117,5482.505875
"Paris, France",Internet Access,Public Administration,50-249 Emp,16544.50018,15662.42663,16126.66054,16214.38547,16270.63287,16218.04812,16102.19045,16129.8353,16033.8727,15914.26781,15763.12924,15583.63932,15377.10374
"Paris, France",Internet Access,Wholesale & retail trade,50-249 Emp,6644.233912,6284.869487,6452.923016,6524.611748,6564.501891,6591.27912,6603.121559,6600.724892,6584.509335,6558.470931,6519.241219,6467.999526,6405.159954
"Paris, France",Internet Access,Services,50-249 Emp,9195.168813,8763.327403,9098.845651,9265.695936,9384.874959,9487.705296,9571.463826,9650.682628,9699.591029,9733.672126,9747.562871,9742.600197,9719.010919
"Paris, France",Internet Access,Transportation and Public Utilities,50-249 Emp,9101.831062,8624.575633,8929.67514,8949.436945,9015.741782,9033.592665,9033.099068,9043.040363,9016.219683,8975.971164,8917.707777,8843.069773,8752.648485
"Paris, France",Internet Access,"Agriculture, Forestry, and Fishing plus mining",250+ Emp,5061.347916,4634.006421,4543.942141,4523.997858,4474.880431,4427.446136,4376.166605,4351.626069,4305.231673,4255.750199,4203.87934,4149.217386,4091.982351
"Paris, France",Internet Access,Construction,250+ Emp,34154.87834,31307.42655,30680.70901,30560.02938,30316.35195,30070.27705,29804.12487,29636.60214,29366.17752,29074.27588,28765.56296,28437.19745,28090.572
"Paris, France",Internet Access,"Finance, Insurance, and Real Estate",250+ Emp,98252.42702,91617.75064,91559.23959,93216.14328,94866.92249,96897.71144,99092.11115,100006.4327,101370.0223,102638.5204,103823.3801,104909.7414,105897.6992
"Paris, France",Internet Access,Manufacturing,250+ Emp,41046.09351,36963.03973,35484.34431,34719.81949,34032.12868,33409.44393,32814.79392,31868.1036,31056.03632,30226.05516,29384.15989,28528.50273,27661.63569
"Paris, France",Internet Access,Nonclassified Establishments,250+ Emp,32501.22725,29754.68833,29135.10514,28982.23282,28720.13444,28458.16966,28182.67316,27988.18659,27701.84647,27395.53154,27073.70639,26733.75944,26377.06851
"Paris, France",Internet Access,Public Administration,250+ Emp,124669.8658,114439.0426,112531.0694,111773.2834,110773.7634,109479.2015,107944.122,107618.0388,106497.1685,105299.6899,104042.8074,102716.5251,101326.181
"Paris, France",Internet Access,Wholesale & retail trade,250+ Emp,39301.33658,36127.14348,35470.18088,35472.56129,35402.38067,35349.43241,35280.4425,35159.20427,35006.76243,34827.16822,34625.6394,34398.41518,34146.80711
"Paris, France",Internet Access,Services,250+ Emp,37857.20668,35049.96303,34853.24656,35071.09498,35224.13458,35376.86849,35522.60819,35721.2175,35822.35063,35893.35322,35939.04382,35955.00851,35942.06191
"Paris, France",Internet Access,Transportation and Public Utilities,250+ Emp,90751.4197,82974.91813,81467.73432,80376.95397,79711.46635,78856.11867,77995.43205,77294.32327,76367.60614,75387.0759,74365.31863,73295.43687,72181.51068
"Paris, France",Ethernet,"Agriculture, Forestry, and Fishing plus mining",1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paris, France",Ethernet,Construction,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paris, France",Ethernet,"Finance, Insurance, and Real Estate",1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paris, France",Ethernet,Manufacturing,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paris, France",Ethernet,Nonclassified Establishments,1-9 Emp,0,0,0,0,0,0,0,0,0,0,0,0,0
