city,country,product,sub_product,infousa_industry,infousa_size,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Frankfurt,Germany,,Internet Access,"Agriculture, Forestry, and Fishing plus mining",1-9 Emp,165.8143251,168.0541494,169.5405796,173.8859953,175.496878,177.7146774,180.0217457,181.6732243,183.6318074,185.4513968,187.2672831,189.0344472,190.7599846
Frankfurt,Germany,,Internet Access,Construction,1-9 Emp,177.7660742,180.3211106,182.1341121,187.0691251,189.024357,191.6550608,194.3906758,196.4161167,198.7880756,201.0176844,203.2513311,205.4402105,207.5919724
Frankfurt,Germany,,Internet Access,"Finance, Insurance, and Real Estate",1-9 Emp,243.7215579,249.0959775,255.890294,264.6140574,269.9608531,276.0486832,282.3350514,288.5500872,294.8797878,301.0889614,307.3939871,313.7216829,320.0830458
Frankfurt,Germany,,Internet Access,Manufacturing,1-9 Emp,237.211028,239.3307064,238.930762,240.7480303,241.434655,242.1673907,242.981056,242.1607066,242.0198934,241.6081282,241.1044657,240.4503321,239.655419
Frankfurt,Germany,,Internet Access,Nonclassified Establishments,1-9 Emp,180.0874128,182.7839062,184.763064,189.9226502,192.0208004,194.8067592,197.6909277,199.9148421,202.4674911,204.8795653,207.3001247,209.6794226,212.0252333
Frankfurt,Germany,,Internet Access,Public Administration,1-9 Emp,120.2576812,123.5163995,128.5834596,131.9402049,135.3595701,138.6715803,141.9842639,145.7805753,149.3807916,152.9326442,156.545639,160.1825934,163.8490291
Frankfurt,Germany,,Internet Access,Wholesale & retail trade,1-9 Emp,192.9430788,196.4770392,199.7425329,206.1722154,209.304104,213.1452447,217.0864779,220.5985566,224.3686225,228.0132551,231.6973805,235.3656078,239.0264348
Frankfurt,Germany,,Internet Access,Services,1-9 Emp,271.0934441,278.0165469,286.958522,298.7483173,305.5018652,313.5712601,321.8925028,330.4935658,339.0781614,347.5662757,356.206362,364.9139048,373.7013862
Frankfurt,Germany,,Internet Access,Transportation and Public Utilities,1-9 Emp,260.8538232,266.0462013,273.6183974,279.9858829,285.0496707,290.139998,295.3948477,300.9682735,306.3715774,311.6118368,316.9141851,322.2029159,327.489601
Frankfurt,Germany,,Internet Access,"Agriculture, Forestry, and Fishing plus mining",10-49 Emp,787.9659892,779.1314461,767.2517301,764.62037,773.2093807,783.0640178,791.7619133,796.9815558,801.826252,804.4196143,805.6122213,805.1254846,802.9968633
Frankfurt,Germany,,Internet Access,Construction,10-49 Emp,846.3564191,837.5751662,825.8002554,824.2675498,834.6239298,846.3617159,856.8692134,863.655648,870.0728754,874.0686485,876.5587806,877.2337008,876.1268739
Frankfurt,Germany,,Internet Access,"Finance, Insurance, and Real Estate",10-49 Emp,1263.23169,1262.08434,1266.192554,1276.966249,1308.473769,1342.914296,1376.656101,1404.632934,1432.225453,1456.147591,1477.801753,1496.571631,1512.406889
Frankfurt,Germany,,Internet Access,Manufacturing,10-49 Emp,1360.392728,1335.230771,1295.292719,1265.081385,1268.394175,1270.407781,1271.056395,1257.938037,1247.86446,1233.960788,1217.659474,1198.637344,1177.061732
Frankfurt,Germany,,Internet Access,Nonclassified Establishments,10-49 Emp,848.8495951,839.9700854,828.1578225,826.4856586,836.7559357,848.3647756,858.6950098,865.4618948,871.773385,875.6564963,878.0295622,878.5831479,877.3515159
Frankfurt,Germany,,Internet Access,Public Administration,10-49 Emp,781.0280825,782.1963715,785.9052167,790.2538923,809.5498719,827.3867971,843.4512529,862.7126741,878.4134295,891.8404134,903.8612948,914.1057392,922.5504423
Frankfurt,Germany,,Internet Access,Wholesale & retail trade,10-49 Emp,940.4208913,932.2862828,922.3160474,922.9010588,937.0731134,952.3385072,966.1700876,976.7311047,986.5285539,993.6271697,999.0497806,1002.429579,1003.788901
Frankfurt,Germany,,Internet Access,Services,10-49 Emp,1260.466501,1260.28117,1265.800153,1279.076168,1309.436881,1342.619898,1374.355174,1404.876116,1432.698123,1456.85262,1478.741117,1497.74572,1513.814713
Frankfurt,Germany,,Internet Access,Transportation and Public Utilities,10-49 Emp,1404.22973,1395.863501,1395.632737,1389.618081,1414.859866,1438.817951,1460.771092,1482.146029,1499.851566,1513.506054,1524.647187,1532.699683,1537.680105
Frankfurt,Germany,,Internet Access,"Agriculture, Forestry, and Fishing plus mining",50-249 Emp,3377.845087,3325.753737,3293.382521,3267.178884,3292.221634,3322.175312,3345.389275,3352.337765,3354.481996,3345.946565,3329.082607,3303.316778,3268.987836
Frankfurt,Germany,,Internet Access,Construction,50-249 Emp,3739.950088,3690.083298,3662.702462,3646.021074,3683.617891,3727.342639,3763.143234,3781.733849,3794.823286,3795.935927,3787.644901,3769.21495,3740.945024
Frankfurt,Germany,,Internet Access,"Finance, Insurance, and Real Estate",50-249 Emp,9919.600853,9908.072545,10014.37578,10112.87696,10391.8535,10719.01028,11049.56811,11242.67221,11465.35251,11653.6466,11813.84079,11942.22561,12038.25686
Frankfurt,Germany,,Internet Access,Manufacturing,50-249 Emp,4600.27989,4475.094843,4347.324632,4227.125646,4209.393088,4191.526619,4166.508083,4088.999113,4021.08616,3939.678707,3848.16778,3746.438804,3635.454928
Frankfurt,Germany,,Internet Access,Nonclassified Establishments,50-249 Emp,3684.639766,3632.27894,3602.115464,3581.024006,3614.213665,3653.064865,3684.165,3698.391074,3707.095702,3704.060298,3691.831673,3669.724739,3638.063795
Frankfurt,Germany,,Internet Access,Public Administration,50-249 Emp,10303.46033,10188.8239,10167.31163,10084.19789,10188.63119,10257.14873,10285.17597,10380.64381,10403.5872,10393.56879,10357.74802,10294.21432,10203.88955
Frankfurt,Germany,,Internet Access,Wholesale & retail trade,50-249 Emp,4137.846401,4088.474278,4068.34875,4057.845803,4110.675304,4168.67244,4217.703631,4248.014483,4272.362537,4283.321081,4283.708953,4272.620276,4250.315652
Frankfurt,Germany,,Internet Access,Services,50-249 Emp,5726.498597,5700.776882,5736.513087,5762.605779,5876.78614,6000.525067,6113.714154,6210.869298,6293.585023,6357.037098,6404.997291,6435.750494,6449.310326
Frankfurt,Germany,,Internet Access,Transportation and Public Utilities,50-249 Emp,5668.37041,5610.515176,5629.856827,5565.915115,5645.635832,5713.320296,5769.836948,5819.810258,5850.179146,5862.184481,5859.710259,5841.540196,5808.054619
Frankfurt,Germany,,Internet Access,"Agriculture, Forestry, and Fishing plus mining",250+ Emp,3840.879247,3736.925752,3640.771901,3585.267831,3588.7346,3595.588222,3594.19155,3605.931502,3599.673369,3584.762299,3563.395895,3535.006586,3499.914216
Frankfurt,Germany,,Internet Access,Construction,250+ Emp,25918.93811,25246.73423,24582.50123,24218.82011,24312.90464,24420.47417,24478.44048,24558.07452,24553.53282,24490.2457,24382.97598,24227.62438,24026.15257
Frankfurt,Germany,,Internet Access,"Finance, Insurance, and Real Estate",250+ Emp,74560.31756,73881.79917,73360.59668,73873.78385,76080.73835,78691.92741,81385.39062,82869.33212,84757.10428,86455.89638,88005.33425,89379.898,90575.38163
Frankfurt,Germany,,Internet Access,Manufacturing,250+ Emp,31148.43938,29807.49755,28431.34874,27515.45333,27292.85835,27132.25625,26951.13455,26407.18592,25966.45091,25460.42834,24907.32637,24305.41369,23659.27897
Frankfurt,Germany,,Internet Access,Nonclassified Establishments,250+ Emp,24664.04035,23994.58502,23344.10713,22968.4165,23032.78083,23111.26019,23146.72518,23192.13142,23161.95889,23076.18258,22948.88279,22776.34718,22560.57557
Frankfurt,Germany,,Internet Access,Public Administration,250+ Emp,94607.5844,92285.19916,90163.99038,88580.31548,88837.59993,88909.52374,88655.64002,89176.61356,89043.99358,88697.48949,88191.33064,87511.34465,86665.31547
Frankfurt,Germany,,Internet Access,Wholesale & retail trade,250+ Emp,29824.4046,29133.41946,28420.00049,28112.00113,28391.76385,28707.74684,28976.19761,29134.32364,29269.71649,29336.10146,29350.23852,29306.39996,29206.11219
