building_id,s_ocn,cust_name,man_employee_total,db_country_name,db_nace_code,db_employee_here,db_employee_total,db_sic_code,db_industry,db_industry_level_1,db_industry_level_2,db_industry_level_3,gl_revenue_year_2014,db_duns,sfdc_account_name,carrier_voice,colocation,colt_total,customer_asset_sales_data,customer_asset_sales_managed_services,data_centre_services,data_centre_services_installation_adjustment,data_installation_adjustment,dedicated_hosting,ethernet_point_to_point,ethernet_vpn,high_speed_service,incoming,in_services,intercompany_voice,internet_access,ip_voice,ipvpn_corporate,link,managed_service_installation_adjustment,other_bandwidth,other_misc_data,other_voice,professional_services,reseller_voice,shared_hosting,voice_connect,voice_line,others,channel
DEBAD-0000078689,DE25774,Fresenius Netcare GmbH,130,GERMANY,0,0,130,7371,Services,70..89 - Services,73 - Business Services,Computer programming services,115464.72,314475182,Fresenius Netcare GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78776.01,0.00,0.00,0.00,0.00,0.00,29497.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,7191.20,0.00,0
DEBER-0000007454,3643536,BILFINGER BERGER AG,66826,GERMANY,74.2,0,66826,8711,Services,70..89 - Services,"87 - Engineering, Accounting, Research, Management & Related Services",Engineering services,912971.9,315010108,Bilfinger Berger SE,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52979.97,0.00,859491.93,0.00,0.00,0.00,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0
DEBER-0000007454,A0166878,REUTERS LIMITED,4645,0,0,0,0,0,0,0,0,0,3504000.775,0,Reuters Limited,0,0.00,0.00,0.00,0.00,0.00,0.00,219409.35,0.00,694803.89,1647655.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,942131.82,0.00,0.00,0.00,0.00,0.00,0
DEBER-0000007454,DE26856,STUTTGARTER VOLKSBANK AG,516,GERMANY,0,516,516,6029,"Finance, Insurance & Real Estate","60..67 - Finance, Insurance & Real Estate",60 - Depository Institutions,"Commercial banks, N.E.C.",0,322016270,Stuttgarter Volksbank AG,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AGENTS
DEBER-0000007454,GEN03,GENOTEL GMBH,0,GERMANY,74.14,0,0,8748,Services,70..89 - Services,"87 - Engineering, Accounting, Research, Management & Related Services",Business consulting services N.E.C.,401726.2,537682952,Ratiodata IT-Lösungen & Services GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225773.98,0.00,0.00,0.00,1286.72,0.00,0.00,0.00,43944.50,56531.54,0.00,0.00,40708.39,0.00,11605.50,0.00,0.00,0.00,21875.57,0.00,0
DEDAR-0000002697,A0151456,PROFIDATA GROUP AG,120,0,0,0,0,0,0,0,0,0,7299.012817,0,PROFIDATA GROUP AG,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7299.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AGENTS
DEDAR-0000002697,A0158424,CLEAN ENERGY SOURCING GMBH,40,0,0,0,0,0,0,0,0,0,6600,0,Grün Direkt GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AGENTS
DEDAR-0000002697,A0166628,HOTWIRE PUBLIC RELATIONS,15,0,0,0,0,0,0,0,0,0,16673.23802,0,Hotwire Public Relations Germany GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16673.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AGENTS
DEESC-0000000022,69056,ZUEHLKE ENGINEERING AG,290,SWITZERLAND,72.21,0,290,7372,Services,70..89 - Services,73 - Business Services,Pre packaged software,205978.4624,480375823,Zühlke Engineering AG,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10373.16,174920.57,0.00,0.00,0.00,0.00,18452.84,0.00,0.00,0.00,0.00,0.00,2231.87,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0
DEESC-0000000261,A0135814,FAST LANE INSTITUTE FOR KNOWLEDGE TRANSFER GMBH,100,GERMANY,72.6,0,100,7379,Services,70..89 - Services,73 - Business Services,Computer related services N.E.C.,39912,332136071,Fast Lane Institute for Knowledge Transfer GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39912.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AGENTS
