region,department,city_code,coverage_cities,co_nickname,ft_co_id,address,zip_code,city,full_address,xng_site_name,xng_site_id,lat,lon
Ile de France,75,PARIS 07,75007 Paris,INVALIDES,75107INV,5 rue Louis Codet,75007,PARIS,"75107INV, INVALIDES, 5 rue Louis Codet, 75007 PARIS",FR_75007_RUE LOUIS CODET_5_INC_DPAGE,PAR00520/02_CAA INVALIDES 3&4,48.8547855,2.3083216
Ile de France,75,PARIS 10,75010 Paris,JEMMAPES,75110JEM,190 Quai de Jemmapes,75010,PARIS,"75110JEM, JEMMAPES, 190 Quai de Jemmapes, 75010 PARIS",FR_75010_BOULEVARD DE LA VILLETTE_105_INC_DPAGE,PAR01322/03_CAA JEM & NORD 6&7,48.8800003,2.3686189
Ile de France,75,PARIS 08,75008 Paris,LABORDE,75108LAB,11 rue d'Edimbourg,75008,PARIS,"75108LAB, LABORDE, 11 rue d'Edimbourg, 75008 PARIS",FR_75008_RUE DEDIMBOURG_11_INC_DPAGE,PAR00592/01_CAA LABORDE 2,48.8790888,2.3210286
Ile de France,75,PARIS 06,75006 Paris,LITTRE,75106LIT,37 rue du Cherche Midi,75006,PARIS,"75106LIT, LITTRE, 37 rue du Cherche Midi, 75006 PARIS",FR_75006_RUE DU CHERCHE MIDI_31_INC_DPAGE,PAR00451/02_CAA LITTRE 2,48.8496412,2.326764
Ile de France,75,PARIS 18,75018 Paris,MARCADET,75118MAR,266 rue Marcadet,75018,PARIS,"75118MAR, MARCADET, 266 rue Marcadet, 75018 PARIS",FR_75018_RUE CADET_266_RDC_DPAGE,PAR02155/01_CL4 MARCADET,48.893055,2.3286634
Ile de France,75,PARIS 20,75020 Paris,MENILMONTANT,75120MEN,26 rue Sorbier,75020,PARIS,"75120MEN, MENILMONTANT, 26 rue Sorbier, 75020 PARIS",FR_75020_RUE SORBIER_26_INC_DPAGE,PAR02227/02_CAA MENILMONTANT 2,48.8666211,2.3911851
Ile de France,75,PARIS 13,75013 Paris,MASSENA,75113MNA,57 rue Albert,75013,PARIS,"75113MNA, MASSENA, 57 rue Albert, 75013 PARIS",FR_75013_RUE ALBERT_57_INC_DPAGE,PAR01536/02_CAA MASSENA 2 ET 3,48.8261042,2.370901
Ile de France,75,PARIS 18,75018 Paris,MONTMARTRE,75118MON,114 rue Marcadet,75018,PARIS,"75118MON, MONTMARTRE, 114 rue Marcadet, 75018 PARIS",FR_75018_RUE CADET_114_INC_DPAGE,PAR02153/02_CAA MONTMARTRE 4&5,48.8916157,2.3415047
Ile de France,75,PARIS 10,75010 Paris,NORD,75110NOR,105 boulevard de La Villette,75010,PARIS,"75110NOR, NORD, 105 boulevard de La Villette, 75010 PARIS",FR_75010_BOULEVARD DE LA VILLETTE_105_INC_DPAGE,PAR01322/03_CAA JEM & NORD 6&7,48.8796838,2.3699637
Ile de France,75,PARIS 16,75016 Paris,PASSY,75116PAS,29 rue des Sablons,75016,PARIS,"75116PAS, PASSY, 29 rue des Sablons, 75016 PARIS",FR_75016_RUE DES SABLONS_29_RDC_DPAGE,PAR01860/01_CL4 PASSY,48.8647012,2.2827385
Ile de France,75,PARIS 11,75011 Paris,PHILIPPE AUGUSTE,75111PHA,42 avenue Philippe Auguste,75011,PARIS,"75111PHA, PHILIPPE AUGUSTE, 42 avenue Philippe Auguste, 75011 PARIS",FR_75011_AVENUE PHILIPPE AUGUSTE_42_INC_DPAGE,PAR01439/01_CAA PHA 2&3,48.8520288,2.3938862
