company_name,company_label,address,address_2,postcode,city,sic_4,sic_2,sic_industry_german,sic_industry_english,solon_av_industry,employees,employees_bracket,lat,lon,country
Tungsten Capital Management GmbH,Tungsten Capital Management,Hochstr. 35,,60313,Frankfurt am Main,7389,73,Sonstige gewerbliche Dienstleistungen,Business Services,Services,13,Small 10 - 49, 50.1146717   , 8.6752405   ,Germany
Tupperware Deutschland GmbH,Tupperware Deutschland GmbH,Praunheimer Landstr. 70,,60488,Frankfurt am Main,5719,57,"Verschiedene Einrichtungsgegenstände, Geschirr","Home Furniture, Furnishings and Equipment Stores",Wholesale & retail trade,150,Medium 50 - 249, 50.1485861   , 8.6142974   ,Germany
Turbo-Kurier Gesellschaft für Transportvermittlung mbH,Turbo-Kurier Gesellschaft für,Rotlintstr. 29,,60316,Frankfurt am Main,4215,42,Kurierdienste (außer Luft-),Motor Freight Transportation,Transportation and Public Utilities,10,Small 10 - 49, 50.1212192   , 8.6902567   ,Germany
Turkali Architekten,Turkali Architekten,Kettenhofweg 14,,60325,Frankfurt am Main,8712,87,Architektendienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,11,Small 10 - 49, 50.1156250   , 8.6690280   ,Germany
Turmhotel GmbH,Turmhotel GmbH,Eschersheimer Landstr. 20,,60322,Frankfurt am Main,7011,70,"Hotels, Motels","Hotels, Rooming Houses, Camps, and Other Lodging Places",Services,20,Small 10 - 49, 50.1213400   , 8.6720600   ,Germany
TURTLE RENT Autovermietungs GmbH,TURTLE RENT Autovermietungs,Gerbermühlstr. 34-36,,60594,Frankfurt am Main,7514,75,PKW-Vermietung,"Automotive Repair, Services and Parking",Services,22,Small 10 - 49, 50.1059565   , 8.6869270   ,Germany
TÜV Rheinland Grebner Ruchay Consulting GmbH,TÜV Rheinland Grebner Ruchay,Kennedyallee 97,,60596,Frankfurt am Main,8711,87,Technische Dienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,50,Small 10 - 49, 50.0989500   , 8.6817200   ,Germany
TVG Telefonbuch- und Verzeichnisverlag GmbH & Co. KG,TVG Telefonbuch- und,Wiesenhüttenstr. 18,,60329,Frankfurt am Main,2741,27,"Versch. Publikationen, Drucksachen f. gewerbl. Zwecke","Printing, Publishing and Allied Industries",Manufacturing,44,Small 10 - 49, 50.1080706   , 8.6713871   ,Germany
TW Hotel und Touristik GmbH,TW Hotel und Touristik GmbH,Blauenstr. 19,,60528,Frankfurt am Main,8742,87,Unternehmensberatung,"Engineering, Accounting, Research, Management & Related Svcs",Services,14,Small 10 - 49, 50.0810641   , 8.6296390   ,Germany
Twelkmeyer & Lauer GmbH,Twelkmeyer & Lauer GmbH,Ferdinand-Porsche-Str. 11,,60386,Frankfurt am Main,1796,17,Installation oder Aufbau von Baugeräten,Construction - Special Trade Contractors,Construction,10,Small 10 - 49, 50.1299030   , 8.7527319   ,Germany
Twentieth Century Fox Germany GmbH,Twentieth Century Fox Germany GmbH,Darmstädter Landstr. 114,,60598,Frankfurt am Main,3572,35,Datenspeichergeräte,Industrial and Commercial Machinery and Computer Equipment,Manufacturing,90,Medium 50 - 249, 50.0896355   , 8.6723776   ,Germany
Typodrom Werbeagentur GmbH,Typodrom Werbeagentur GmbH,Radilostr. 43,,60489,Frankfurt am Main,7311,73,Werbeagenturen,Business Services,Services,60,Medium 50 - 249, 50.1235583   , 8.6078369   ,Germany
Übergangsheim Schönstraße,Übergangsheim Schönstraße,Schönstr. 10,,60327,Frankfurt am Main,8361,83,"Alters-, Pflege- u. Kinderheime, Kinderdörfer",Social Services,Services,12,Small 10 - 49, 50.1007106   , 8.6641758   ,Germany
UBS Deutschland AG,UBS Deutschland AG,Bockenheimer Landstr. 2-4,,60323,Frankfurt am Main,6029,60,Sonstige Geschäftsbanken,Depository Institutions,"Finance, Insurance, and Real Estate",109,Medium 50 - 249, 50.1162875   , 8.6702706   ,Germany
UDG Frankfurt GmbH,UDG Frankfurt GmbH,Stephanstr. 5,,60313,Frankfurt am Main,7331,73,Direktmail- und Postwerbungsagenturen,Business Services,Services,52,Medium 50 - 249, 50.1146717   , 8.6752405   ,Germany
"Udo Weigl, Ralf Joukl, Werner Karl Folz","Udo Weigl, Ralf Joukl, Werner",Sontraer Str. 3,,60386,Frankfurt am Main,8711,87,Technische Dienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,12,Small 10 - 49, 50.1299030   , 8.7527319   ,Germany
UHD-Unternehmensberatung Hessen für Handel und Dienstleistung GmbH,UHD-Unternehmensberatung,Flughafenstr. 4,,60528,Frankfurt am Main,8742,87,Unternehmensberatung,"Engineering, Accounting, Research, Management & Related Svcs",Services,10,Small 10 - 49, 50.0810641   , 8.6296390   ,Germany
UKA-Fitness 12 GmbH,UKA-Fitness 12 GmbH,Eschersheimer Landstr. 10,,60322,Frankfurt am Main,7991,79,Fitnessstudios,Amusement and Recreation Services,Services,10,Small 10 - 49, 50.1213400   , 8.6720600   ,Germany
Uli's Motorradladen GmbH,Uli's Motorradladen GmbH,Gutleutstr. 144,,60327,Frankfurt am Main,5571,55,Motorradhändler,Automotive Dealers and Gasoline Service Stations,Wholesale & retail trade,14,Small 10 - 49, 50.1007106   , 8.6641758   ,Germany
Ulrich Heiken,Ulrich Heiken,Inckusstr. 11,,60320,Frankfurt am Main,8711,87,Technische Dienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,35,Small 10 - 49, 50.1396151   , 8.6758600   ,Germany
Ulrich Madel und Claus-Dieter Kotalla Partnerschaftsgesellschaft Steuerberatungsgesellschaft,Ulrich Madel und Claus-Dieter,Brüder-Grimm-Str. 13,,60314,Frankfurt am Main,8721,87,"Buchhaltungs-, Wirtschafts- u. Steuerprüfungsbüros","Engineering, Accounting, Research, Management & Related Svcs",Services,31,Small 10 - 49, 50.1119900   , 8.7128595   ,Germany
Ulrike u. Helmut Völkel,Ulrike u. Helmut Völkel,Feuerbachstr. 3,,60325,Frankfurt am Main,8322,83,Soziale Einrichtungen f. Alleinstehende u. Familien,Social Services,Services,15,Small 10 - 49, 50.1156250   , 8.6690280   ,Germany
UMS Universal Management Services (Training) GmbH,UMS Universal Management,Hanauer Landstr. 291b,,60314,Frankfurt am Main,8748,87,Sonstige Beratungsdienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,15,Small 10 - 49, 50.1119900   , 8.7128595   ,Germany
UMYS Steuerberatungsgesellschaft mbH,UMYS,Burgfriedenstr. 8-10,,60489,Frankfurt am Main,8721,87,"Buchhaltungs-, Wirtschafts- u. Steuerprüfungsbüros","Engineering, Accounting, Research, Management & Related Svcs",Services,12,Small 10 - 49, 50.1235583   , 8.6078369   ,Germany
Ungeheuer - Dr. Theobald - Dr. Casmir - OHG Gesellschaft für Versicherungsvermittlung und Finanzdienstleistungen,Ungeheuer - Dr. Theobald - Dr.,Opernplatz 4,,60313,Frankfurt am Main,6411,64,"Versicherungsagenturen, Makler u. Dienstleistungen","Insurance Agents, Brokers and Service","Finance, Insurance, and Real Estate",13,Small 10 - 49, 50.1146717   , 8.6752405   ,Germany
Unigarant GmbH Steuerberatungsgesellschaft Treuhandgesellschaft,Unigarant GmbH,Hanauer Landstr. 208-216,,60314,Frankfurt am Main,8721,87,"Buchhaltungs-, Wirtschafts- u. Steuerprüfungsbüros","Engineering, Accounting, Research, Management & Related Svcs",Services,30,Small 10 - 49, 50.1119900   , 8.7128595   ,Germany
UNIO GmbH,UNIO GmbH,Schwanthalerstr. 48,,60596,Frankfurt am Main,7991,79,Fitnessstudios,Amusement and Recreation Services,Services,50,Small 10 - 49, 50.0989500   , 8.6817200   ,Germany
Union Investment Privatfonds GmbH,Union Investment Privatfonds,Weißfrauenstr. 7,,60311,Frankfurt am Main,6726,67,Sonstige Investmentgesellschaften,Holding and Other Investment Offices,"Finance, Insurance, and Real Estate",3290,Large 250 +, 50.1104028   , 8.6913868   ,Germany
Union-Druckerei- und Verlagsanstalt GmbH,Union-Druckerei- und,Wilhelm-Leuschner-Str. 83,,60329,Frankfurt am Main,2759,27,Sonstige Druckerzeugnisse f. gewerbl. Zwecke,"Printing, Publishing and Allied Industries",Manufacturing,325,Large 250 +, 50.1080706   , 8.6713871   ,Germany
Union-Glas- und Gebäudereinigung Margarete Schmidt GmbH,Union-Glas- und,Hattersheimer Str. 5,,60326,Frankfurt am Main,7349,73,"Sonstige Hausreinigungs- u. Instandhaltungsdienste, Gebäudereinigung",Business Services,Services,60,Medium 50 - 249, 50.1051310   , 8.6149319   ,Germany
UNIONZEISS Büro- und Objekteinrichtung GmbH,UNIONZEISS Büro- und,Flinschstr. 63,,60388,Frankfurt am Main,5021,50,Möbel,Wholesale Trade - Durable Goods,Wholesale & retail trade,13,Small 10 - 49, 50.1367800   , 8.7429000   ,Germany
United States Consulate General,United States Consulate,Gießener Str. 30,,60435,Frankfurt am Main,8741,87,Management-Dienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,900,Large 250 +, 50.1457926   , 8.6825547   ,Germany
Universal McCann GmbH,Universal McCann GmbH,Speicherstr. 57-59,,60327,Frankfurt am Main,7311,73,Werbeagenturen,Business Services,Services,180,Medium 50 - 249, 50.1007106   , 8.6641758   ,Germany
Universal Pictures International Germany GmbH,Universal Pictures,Herriotstr. 6-8,,60528,Frankfurt am Main,7822,78,Vertrieb von Filmen u. Videos,Motion Pictures,Services,22,Small 10 - 49, 50.0810641   , 8.6296390   ,Germany
Universal-Investment-GmbH,Universal-Investment-GmbH,Theodor-Heuss-Allee 70,,60486,Frankfurt am Main,6726,67,Sonstige Investmentgesellschaften,Holding and Other Investment Offices,"Finance, Insurance, and Real Estate",240,Medium 50 - 249, 50.1162158   , 8.6446802   ,Germany
Universitaet Frankfurt Institut fuer Pharmazeutische Chemie,Universitaet Frankfurt,Max-von-Laue-Str. 9,,60438,Frankfurt am Main,8733,87,Nichtkommerzielle Forschungseinrichtungen,"Engineering, Accounting, Research, Management & Related Svcs",Services,20,Small 10 - 49, 50.1780598   , 8.6253802   ,Germany
Universum GmbH,Universum GmbH,Hugo-Junkers-Str. 3,,60386,Frankfurt am Main,7322,73,Inkassodienste,Business Services,Services,67,Medium 50 - 249, 50.1299030   , 8.7527319   ,Germany
Unternehmensberatung Burger-Adler GmbH,Unternehmensberatung,Bodelschwinghstr. 11,,60386,Frankfurt am Main,7371,73,Programmierungsdienste für Computer etc.,Business Services,Services,10,Small 10 - 49, 50.1299030   , 8.7527319   ,Germany
Unterstützungskasse der HBG Deutschland GmbH,Unterstützungskasse der HBG,Westerbachstr. 110,,65936,Frankfurt am Main,8011,80,Arztpraxen (ohne Kliniken),Health Services,Services,2757,Large 250 +, 50.1240000   , 8.5888400   ,Germany
update software Deutschland GmbH,update software Deutschland,Darmstädter Landstr. 125,,60598,Frankfurt am Main,7372,73,Fertige Software,Business Services,Services,86,Medium 50 - 249, 50.0896355   , 8.6723776   ,Germany
Urban Science International GmbH,Urban Science International,Theodor-Stern-Kai 1,,60596,Frankfurt am Main,8748,87,Sonstige Beratungsdienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,62,Medium 50 - 249, 50.0989500   , 8.6817200   ,Germany
UTG Anlagentechnik GmbH,UTG Anlagentechnik GmbH,Paulistr. 3,,65929,Frankfurt am Main,8711,87,Technische Dienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,15,Small 10 - 49, 50.0983072   , 8.5430878   ,Germany
